ï»¿post,post-href,text
Not really sure what to do...,http://www.spiritualforums.com/vb/showthread.php?t=58976,"Hi all  



I am new to this forum and the main reason I joined was because I have a question that I cannot seem to find the answer to. 



For a little background, I am somewhat new to the idea of spirituality. I have only been meditating/opening my chakras for about two months now. One of my goals is to meet my spirit guides, but I haven't been able to achieve this yet. 



Anyways, I am physically blind in my right eye and I recently noticed that when I meditate and visualize anything, I only visualize it on the left side of my body (so basically only using my left brain). I decided to try and see if I can visualize it on my right side, and with a lot of conscious effort I can manage to move the image to the right and eventually center it the way I imagine everyone else sees the world. It can be difficult to hold the concentration though.



I noticed that when I do this, the energy feels different. It seems to flow better, but i'm not sure if i'm making it up. My question is, should centering my visions make a difference when meditating? Is it O.K. to only visualize things using the left hemisphere of the brain?



Thanks for taking the time to read such a long first post!"
Effect of meditation ?,http://www.spiritualforums.com/vb/showthread.php?t=100128,"I have been learning meditation and started years ago, only meditating for 5 minutes and gradually building my way up. Anyway after a long break due to work i was introduced to transcendental meditation which is basically what i have been doing only with a mantra and at regular times.



I now meditated 2 times a day for 20 minutes each. Sometimes i feel really relaxed and great but most of the night meditations before bed are different.

I mediation in the seiza position (as opposed to lotus) and i get really relaxed, but last night was really intense. I often get this dizzy feeling like im about to fall over, i ignore it and continue but as i get deeper I feel fear and paranoia and have thoughts/feelings that someone or thing is going to steal my body. I feel silly saying it but that the sensation i get. When it happened last night I opened my eyes but the sensation was still there. I tried to continue through it to see what happens (i consider myself mentally strong) but then my gong sound went off and it was time to adjust to reality.



I dont usually feel fear in day t day life. I guess the only fear i have is the fear of the unknown as i dont know where this leads me.. I read into this and the symptoms I had were very similar to lucid dreaming or Out of body experiences. Only without the strong vibrations. I have had lucid dreams in the past and i can correlate. Although, i never had the fear in lucid dreaming, just excitement that prevented me having long vivid dreams.



Are these sensations normal for all those practicing meditation? Where does it lead? 



To add, i have been on ""spirit journeys"" with shamens in the Amazon and had local ""medicines"" to induce a journey but it actually never affected me. The Shaman said it doesn't affect only a handful of people and it is because my mind is too strong. I later deduced it is because I am strongly logical and and engineer and therefore very fixed to the physical realm.



Does anyone have any advice, tips, tricks, explanations or similar experiences?



Thanks"
Meditation.,http://www.spiritualforums.com/vb/showthread.php?t=99570,"I hear my thoughts in my mind and to me that's spiritual as is meditation. What roll does the subconscious have over the conscious? I have changed spiritually and I like the change, but how did that happen? Can the subconscious help me with attitude my emotions and negative thoughts especially. I am curious on how I changed personality wise? Curious"
Meditation - How to stop trying too hard?,http://www.spiritualforums.com/vb/showthread.php?t=97413,"I have been practicing meditation for over ten years with a lot of problems and, it feels like not a lot of progress has been made. 



I feel a lot of my problems stem from the fact that I try too hard when I sit. I cannot help it. The very moment I attempt to meditate some tiny cognitive command seems to subconsciously kick in and I tense up. 



Instead of observing my breath or the object in question I put a whole lot of energy into the observation process itself - in my efforts to try and get as much out of it as I can.   Sometimes its so bad I come away feeling really unstable, but I can't seem to stop it. 



I've tried various forms of meditation with the same outcome. 



If I try and relax it just gets worse...because my brain seizes on another opportunity to 'try' and the opposite ends up happening. 



A lot of really bad stuff has happened to me over the years and I just can't let go in any circumstance. I'm constantly on guard, and constantly trying / struggling to improve my life. 



The sad irony is, when I found out the peace of mind that could be attained with meditation, because being human I naturally desired this a lot, my mind could not seem to help but go into overtime and ever since has tried way too hard every time I sit. 



Please, what can I do?"
"Observe the breath, inhabit the body",http://www.spiritualforums.com/vb/showthread.php?t=59722,"'Observe the breath' is something you hear a lot in relation to meditation, but I find I run into problems when I try to do this on its own - I find it useful to also be completely aware of my physical state at the same time, or, to put it another way, to inhabit my body. If I'm concentrating solely on my breath, I find myself forcing my breath, actively trying to breathe, and this then causes tension in my body. 



It takes practice, but I find it much easier to meditate in this way - after maybe ten or fifteen minutes, I'm completely relaxed, in a trance-like state."
Sitting upright,http://www.spiritualforums.com/vb/showthread.php?t=59067,"I'd be interested in hearing people's thoughts on meditating sitting upright. Other than the most obvious reasons ie staying awake, and aligning the energy centres from base to crown, are there any other reasons for this posture? Also, thoughts on whether you should be crosslegged or sitting on a chair with the feet grounded. I personally find I can't meditate lying down - the energy doesn't feel right, and it's too easy to fall asleep."
Yoga Nidra,http://www.spiritualforums.com/vb/showthread.php?t=98986,"Hi all



I have started to do a meditation called Yoga Nidra. Anyone doing this meditation or have done it before?



I have had allot of good stuff happen with this meditation but i would like to know some of u guy's experience with this meditation and what is the benefits for you?



What i love about this guided meditation (on youtube)is that you focus on your third eye so the benefits for me is great focus, concentration and i am very relaxing afterwards. You have to focus on the third eye allot in this meditation, so i am bit worried about being unbalanced and other stuff.



Also my energy has been allot stronger since doing it so that's great!!!



What problems/dangers could happen when you focus more on the third eye than other chakra's? if all my 7 main chakra's are open.



Thanks in advance"
why do you meditate?,http://www.spiritualforums.com/vb/showthread.php?t=98564,"I thought it would be interesting to find out what your objective/ with meditation is/are. Feel free to add you own objectives to my suggestions :)

Do you do it to relax or manage stress?

Do you do to purify your karma?

Do you do it to find non-duality (realize there is no I)?

For some other reason?"
I can feel it. Anyone can share there opinion.,http://www.spiritualforums.com/vb/showthread.php?t=14301,"Hey guys. I haven't posted here much but I always enjoy reading the great advice spoken. :] 



I am in seek of advice considering I am a seeker I am now going to continue with my seeking experience and ask you guys a question.



I believe myself to be sensitive and empathic to the energies around me. 



I can feel anxiety...stress....positive vibes. I have also become able to visually see now also.



The thing I really wanted to ask you guys, was that I have become aware of some things that I am not certain of. For example, I will be in a observational space, and I will observe a thought. If i doubt the though, and anxiety comes, I see an orb rise from the air. As soon as I become aware of the orb it glistens like sparks a certain color..usually redish/pinkish. and it shows me its eyes and it floats away. If I am fully aware of the moment, the moment changes in its perception, it visually gets enhanced...brighter...sharper...vivid. But as soon as doubt comes back into my mind the orb comes back. Now the thing is, if I fully observe the orb and surrender my awareness to it, It turns to wicked colors like purple, green, pink, and I usually feel slightly blissfull. When I am scared of it, it turns into what looks like an aliens head and the color turns a slightly dark shade of blue. I can feel it in my body. feels like a lump of static. When I am around other people, It will sometimes attach itself to the person, and the person reports that they are in a ""spacious"" space where sometimes they will caugh and get headaches and sometimes they can feel very positive by its influence. Many People have told me that I have a strong spiritual presence and they can feel my aura. Some people get clausterphobic around me. And my crown chakra is opened ( I was attuned to reiki I and II) so i can feel there emotions and thoughts, usually feels like my mind slips away from focus and I get so lost in whats happening in the moment/mind that I cant focus on myself or the reality. Other times...Ive been told that for some reason people feel amazingly happy around me. What Ive been advised to do, was to observe this and focus on the superficial light of it, the more I am aware of it, the more I feel my body get's stronger by its presence or challenges it gives me. Ive used my third eye to see it, and what appeared to be a higher or different dimension version of my self with a duality spectrum...a ""lighter"" higher self and a presently negative ""lower"" self . Seen different symbols appear. Anyone seen a Z symbol the way it looks from dragon Ball Z? What symbol could that be? 

The energy usually is always triggered by another person or naturally by one of my own thoughts. I wish I knew how to completely transmute the negative anxiety It currently holds on to to true bliss. I am willing to converse on this topic with any positive and wiseful soul. Thanks for listening :}"
My first real meditation experience,http://www.spiritualforums.com/vb/showthread.php?t=97202,"while I was listening to a binaural beat I was laying still trying to visualize things in my mind, in doing so because of my relaxed state I was in my body induced me in an REM state of mind, REM stands for rapid eye movement which is accompanied by the deam state we are in while sleeping therefore giving you a higher state of conciousness, I would switch from trying to visualize to stopping and evaluating my conciousness and trying to delve deeper into my mind each time and each time I stopped I would go deeper and deeper, far enough in I Started to feel my body go from almost numb to pretty much compleley weightless, shortly after that I felt a warm heat spread throughout my body it was the weirdest thing, after that I was still going deeper and I went into a vibrational state and I felt like the world was spinning and almost vibrating but it was calm and relaxing, through my research it has been said that getting the vibrational state is the last barrier in the way of acheiving astral projection, and if you can astral project you can definitely lucid dream



Has anybody else had similar experiences to this?

And I apologize if I say incorrect things in this post, this is just me trying to think of logical explanations, and come to some kind of conclusion, feel free to correct me if I am wrong, for life is a learning process."
New At Meditating,http://www.spiritualforums.com/vb/showthread.php?t=59750,"Hello. Recently I have been doing by best to meditate without actually knowing much about it. I am usually laying on my back or on my stomach in bed..Next, I'll close my eyes and do my best to block out all of my thoughts and focus on nothingness...



Am I doing this right? Can anybody help me improve my meditation skills? What are some things I can do? Sitting techniques, mind relaxation techniques, etc...?"
At the funeral and my meditation powers,http://www.spiritualforums.com/vb/showthread.php?t=99435,"At a funeral, that I was at, I was crying. I had tears coming down my  face.  But it was not deep emotional pain like before the meditation.  I  simply experienced it and let it go.  I was not attached to this pain.   And I was not thinking about the funeral or the lad, before or after.



I thought I would go to the funeral, and find out how my meditaiton mind would react.  Before the meditation, I would have been too emotional and not have gone."
MedMob: Flashmob Meditation,http://www.spiritualforums.com/vb/showthread.php?t=93858,"For anyone who hasn't heard of this yet, MedMob is an organization that promotes meditation (obviously, LoL) The organization could use a little life breathed into it. They have had interest and participation in over 300 cities worldwide. 



I am not posting this to promote anything other than meditation and there is nothing for sale at the medmob link."
My experience with kundalini,http://www.spiritualforums.com/vb/showthread.php?t=99481,"I would like to share my experience with kundalini here. 



Some years ago I was meditating on a regular basis/every day. One day something moved inside me and I felt it at the bottom of my spine going all up to my head. My spine was erected. I felt how it went up and down several times. I didn't know anything about kundalini or yoga back then. So I was pretty scared at first and thought that maybe I am dying. I went on the internet to check what was going on with me. I couldn't find anything and I was mainly looking for information in medical/biology area. I didn't find what I was looking for and l continued with my meditation which was always the same. The moment when I sat down this energy which felt like strong vibrations at the bottom of my spine went up my head and down and up. It didn't come through. Sometimes I literally felt how it stuck in the middle of my head and then went back down and then again up and down. At the beginning it was quite exciting but I became frustrated over a certain period of time because it didn't move anywhere. Just up and down and it was frustrating because I couldn't sleep some times and after some time spontaneous movements occurred. I didn't know anything about yoga but I saw yogis on pictures in the past somewhere and I just knew that this is similar to yoga movements. And I also felt that this is how yoga started. That yoga probably comes from meditation and from those movements that people had while meditating. This is how I began with yoga and took a class later. I thought it will help me with this energy and I didn't do much physical activity at that time anyway. Sometimes I laid down in my bed at night and I couldn't sleep because the vibrating at the bottom of my spine was so strong. 



Not so long after that I was reading a book in which a woman travelled around the world and she also visited an ashram. She described her experience she had during meditation and her teacher told her that this is kundalini. Her experience was very similar to mine. I went on-line and read about it and saw that there are a lot of mixed information about that topic, confusing but different texts about it did have some joint points - like similar symptoms. 



But the information didn't really help in practical terms. I was stuck with this energy which moved strangely in my body and didn't progress (I felt stuck) so I stopped with meditation for some time. Later I found a new meditation on-line which stated that you should only focus on breathing and don't mind what is happening inside your body and let the energy do it's work. Before that I was always following this energy and paying total attention to it. I believe now that I was effecting the energy with my attention. So I started with meditation focusing only on my breathing and almost ignoring what is going on in my body. What happened then was that the energy started to move and circuit again. I don't feel strong vibrations at the bottom of the spine any more. This energy went up in different parts of my body which happened gradually. 



After some time my solar plexus exploded with warmth and for some time I was feeling it all the time. Later this warmth went into other parts of my body. Now I mainly feel this warmth in the area of my chest. I also feel more cold energy at the top of my head. Sometimes I felt it on the right side, sometimes on the left, sometimes at the back of my head, sometimes on my forehead, but now I mainly feel it on the top. And it also became constant. Before I could feel it only during meditation, now I feel it almost all the time. And I feel that energy is progressing all the time with every meditation I have.



My meditations are never static any more. My body moves in spontaneous ways and I can feel how the energy travels with that movements and I can hear my bones cracking. I think my body is aligning. I really enjoy doing meditation now. I love the sensations and everything that I feel. I just love it and I am eager to know what will come next. Now it's always new and fresh, new sensations and the progress is a lot faster. It's exciting. 



What are your experiences with this energy/kundalini?"
micro-sessions of meditation into the routines of our daily life,http://www.spiritualforums.com/vb/showthread.php?t=93797,"hey i have started to practice medidation during lots of things like doing chores, waiting in the drs office. WALKING on the treatmill etc..



is all this really helpful? I mean i have a lot of trouble when i sit down and medidate like i have trouble cocentrating but i started this. 





Does anyone do this? is it really beneficial?"
