ï»¿post,post-href,text
Seriously???,https://www.suicideforum.com/community/threads/seriously.122549/,"I'm so upset. Just seems like whenever my husband is off at work, people just want to tell me off or whatever.  Why can't this stuff happens when he's home or when he's with me? Am I just a target of everyone just telling me off that I don't know about?  Just whatever! I hate life...."
The Last Song my GrandFather Sang,https://www.suicideforum.com/community/threads/the-last-song-my-grandfather-sang.122067/,"My grandfather was a musician, for some reason, this song causes me to cry uncontrollably.



Primarily because it was the last song my grandfather sang to me before he died.



Thought I'd share it with you guys."
horrible truth!,https://www.suicideforum.com/community/threads/horrible-truth.122172/,I'm only pretty to desperate or drunk people.
"Endless depression cycles, suicidal ideation. I want relief.",https://www.suicideforum.com/community/threads/endless-depression-cycles-suicidal-ideation-i-want-relief.121822/,"I have more than most, a loving relationship, nice pets, and a nice apartment in a beautiful city, but I always come back to this debilitating depression. I can't even walk out the door to go buy paper towels and dish soap. 



I feel hopeless, unable to change focus from all of the pending threats in my life, inevitable death of loved ones, losing money, having to always work and never being able to catch up or earn enough stability to have children, in hopes of having someone and something bigger than myself to live for and to see something beautiful, and focus on passing on the good things I've learned and value in myself. 



I'm unable to forgive my dysfunctional upbringing, my mother who made me take care of her in alcoholism and drug abuse, who even after 15 years clean, struggles financially and in loneliness and illness, putting weight on me as the only one to care for her. I'm unable to forgive my younger brother, who I thought my best friend in our shared experience of surviving our dysfunctional family, but who instead has turned into a sociopath and narcissist, who cut me out of his life without empathy or explanation. 



I feel myself in post trauma, and tread so carefully in the friendships I've made as an adult, but know I cannot help but come off as needy, or sensitive, or smothering. I can only distract myself from my own suicidal ideations by throwing myself into helping others with resumes and job searches, listening and advising to their stories, which seem so trivial in comparison to mine, but I feel some minor relief in pretending that my problems are that small and solvable...i feel some minor relief in pretending that I'm valuable to somebody, even if they just are using me for help now, and have no real interest in having an deeper friendship with me.



I feel such anxiety not knowing if I'm hated. or if people harbor resentment toward me for something I've done and am not aware of.... I'm so depressed. I'm so sad. I don't want to burden the few loved ones I have. I can't bare to see happy families who have vacations, and peers who visit their home towns and post images of dinners and respect and memories between siblings.



I can't even connect with others who suffer from depression, because theirs seem entirely biological or chemically-based. They cycle through doctors and medication and I cannot relate because there do not seem to be any real events they can list as long and terrible as mine. I've tried medication, was misdiagnosed as several contrasting disorders by different doctors who didn't even attempt talk therapy, or to learn about my life. They just asked 10 questions and dolled out the meds, which caused me to have hives, wet the bed while I slept, made me feel like I was having seizures, and other unnatural experiences. I KNOW the only thing I would be interested in is talk therapy, but the thought of trying to leave the house to meet so many disappointing mismatched therapists until I find one I can trust and respect seems impossible. I feel tortured. 



I can't take this anymore. Life is full of disappointment and empty gestures, of unreciprocated love, and disrespect and dispiriting of women as they are, and as they age. It seems like there's no hope or anything to look forward to. I've made it to my 30s... I thought I just had experiential trauma from all of the dysfunctional family relationships growing up, I thought I would outgrow this as a teenager, as a college student under high stress, as an adult considering children and a future...but I didn't. I'll always feel this way. I'll always want to die."
Why do I feel responsible for my toxic family?,https://www.suicideforum.com/community/threads/why-do-i-feel-responsible-for-my-toxic-family.121941/,"I feel like I have always been taking care of them, ever since I was a kid. I am the peace maker and basically I make sure they don't kill one another. My mom is always drunk and puts me and everyone else down, even sometimes while sober. She always needs to be the center of attention and to be involved in some sort of drama. I can't imagine how many times I have told her to drop and forget about something from the past, about me or another family member, or even a friend or a neighbor, only for her to bring it up once again. 



My mom told me I never do anything, but I do so much. If I didn't take out the trash, do the dishes, clean the house, even her own room, it would never get done because she never does any of it. I left her alone for a week once, and she couldn't even take out a single bag of garbage! The place looked like a trash heap when I got back there. Not to mention, she thinks that I am being influenced by ""bad"" people, and referred to my friends as ""assholes"" even though she knows none of them! I call it like I see it. I try to give her a reality check, but she gets offended. She says I'm not allowed to discuss my feelings with anyone. If I paint a less than perfect picture of her, that's a problem, but I only speak the truth. And it's not like I can talk to her about these things, because she just won't listen.



So....why do I feel responsible for my family? I guess I would feel guilty if something bad happened to them, but that would be of their own doing. I can't imagine why I put up with it, unless I am just that defeated from years of mental/verbal abuse that I just accept it now."
Yarp.,https://www.suicideforum.com/community/threads/yarp.122093/,"Feeling exceptionally depressed. I don't really know how to cope. I haven't been talking to anyone specifically about my depression lately, except for my counselor every 2 weeks, and I haven't been talking to anyone in general, really. Overall, I just feel truly lonely. I could talk to my family, but to me, for various reasons, they're a last resort. Monitoring my diet is losing it's effectiveness in distracting me from my suicidal thoughts; it's just frustrating now. Exercise just feels like drudgery--go figure. I feel like things will only get worse from now on. I've had this ambition to at least pointlessly make it past another birthday, even though it's just another shitty day. In spite of all this, I've yet to self-harm since December. What am I doing...?"
Pained and Vulnerable (abuse triggers),https://www.suicideforum.com/community/threads/pained-and-vulnerable-abuse-triggers.122653/,"Compared to the weekend this is nothing I suppose... 



But I'm just miserable. 



My sick back is acting up, being worsened by mother natures cure to most females... which in turn hurts in itself, and is causing me mood swings. 



I am just having some weird thoughts on top of it... I am listening to a Prince song called 'Free'. I listened to it a lot when I was working my way away from my 'ex' idiot who abused me and forced me into prostitution... 



It has some really powerful lyrics, to me at least... and in my world 'The lonely monster' became my ex... 



And slowly I clawed myself back to life from a zombie like state... a state where I mindless followed his orders, too tired to even question it inwardly... I didn't sleep for days... Late at night, on top of it all he made me work on a site where I had to talk to horny men with all sorts of weird ideas in their heads and entertain them for money...). 



I wasn't even a human being at that point... I was a robot... a slave... and still now he can instill fear in me. 



But I got out. Thanks to my amazing boyfriend. He truly saved my life, and he's build me up from the bottom. I am a person now. I am a woman who can think for myself, and no man has control of me... my boyfriend refuses to make any decision for me... he's the complete opposite of the idiot. 



I just hate that I allowed that to happen... That I let that lonely monster take control of me. 





And another thing... that time of the month always feels a little extra weird for me... (sorry if squeamish guys are reading along) but my period was irregular for years... I saw my doctor about it, had my hormones tested... I worried it was PCOS, but it wasn't... however my doctor told me when I was 20 that I might not be able to conceive, or at least struggle with it... Since I was very young I've had this big dream to have children... well, I haven't talked to a doctor about it since then... but currently I'm regular like clockwork... so it does make me hopeful... 



In a way I think my period might be a trigger too, from when I was raped at 13... I was late, and I was so worried I had become pregnant. (no one knew what had happened). It was a relief when I finally got it... but it had been weeks of bad dreams waking up feverish thinking I was pregnant or had a baby, or even miscarried. I can still remember a very vivid dream of that. 





Ah well. I'll survive, I guess. I just need to pig out on some ice cream and chocolate. Right?"
Ugh just ugh,https://www.suicideforum.com/community/threads/ugh-just-ugh.122666/,"I've had a not very nice tooth ache most of the day. My mood the last few days has been dipping more and more. I can't even explain how I feel right now. I know I just want to be at home but I can't because I'm babysitting and will be for tonight and the next two nights while my friend and her partner at work.......tomorrow night and Thursday night a friend of my friend is going to be here as well. I don't know him very well at all. 



I don't even want to do anything anymore I just want to curl up and rott away in my unit. I don't want people to need me and I don't want to need others either. 

I feel so pathetic as a human I have done nothing useful for anybody or for myself. I have nothing.



I tried to have a bath because I don't have one at home but all I could do was stress. 



I really really don't want to do this thing called life anymore but I can't do anything about it at my friends house anyways



I'm just so tied of feeling so miserable, I'm tied of everything about life...."
Having a good day is scary,https://www.suicideforum.com/community/threads/having-a-good-day-is-scary.122022/,"So I woke up at 6 am, my alarm was set to 7.50... but I think the sunrise might have woken me... I went to the bathroom without turning the light on; I hoped I could crawl back to bed... I had only had 5 hours of sleep (well 'only' is relative when some nights I only get 2 or less)... but as I washed my hands I saw a weird shadow... I guess my eyes weren't awake yet... I panicked and ran to turn on the light... I had to hide in the bathroom where it was now light... gasping for air, my heart racing... 

an hour later I went back to bed... I sat on the edge first... but fear gripped me again... I sometimes get afraid of the 'monster' under the bed grabbing my legs... yes. I am 26 and I have those irrational fears sometimes still... 



I turned on my computer and the sun came up... it became a very bright and sunny day... and suddenly I just felt completely okay... 

I got my coffee and Greek yogurt... writing and joking with my boyfriend who came online at 8... and suddenly I realized I was having a really, really good day. I didn't feel the dark cloud over my head that has followed me for so long... and especially since the last time I saw my therapist... 



I have been so tired... so depressed... I have barely been able to keep my eyes open... and the last two days I have cried every ten minutes... I even cried as I fell asleep last night. 



I got my laundry done... I even went outside while waiting for it to finish... soaking up the sunshine and I laughed at how pale my skin is after this winter and my anxiety keeping me inside. 



Everything just felt normal and okay... and I feel like I can get things done... I can concentrate. 





But... why? And why now? I thought today would be a bad day... my therapist told me something a bit harsh and it's rocked my world... and yesterday my boyfriend who has PTSD after an accident and a hospital stay that left him braindamaged 15 years ago told me they did some new scans of his brains and they aren't satisfied and he needs to go in for a more 'expert' scan next week. 



I am not supposed to be okay today. What the heck??"
Pressure From Mom,https://www.suicideforum.com/community/threads/pressure-from-mom.122680/,"My mom is a single parent and I've only been back with her for the past 6 yrs. I'm  20 now and due to rumors about me at my previous college I had to take a semester off and have really cut communication with everyone because of my worsening anxiety and trust. The past month has honestly been hell for me and I've relapsed with self harm multiple times. I just want to get everything off my chest since I can't open up to my family or friends.

I've found out my great aunts don't like me because I'm not fully black and don't even ""act"" black, my mom and siblings don't know about this, but they do know that I do have problems with anxiety and being categorized as anything. I cried for a couple of days after hearing that, and relapsed. I even got scolded for not overcoming my anxiety from my mom, who is very outgoing and friends with everyone. She also got mad at me for not knowing how to drive, fill out official papers, eating 3 meals a day, cook or clean and for not having a boyfriend or even looking for one.

Having someone that close to me  pick at my flaws really has made me feel even more naked and exposed to everything and everyone. It's bad enough to deal with these demons on my own,, but she's made me feel more lost than usual and I have only here to turn to for advice. Suicide is never an option for me since I have my baby niece and sister who look up to me, but i do want the pain and emptiness to disappear. I want to actually smile again and mean it."
In the tank (an interactive public diary),https://www.suicideforum.com/community/threads/in-the-tank-an-interactive-public-diary.121944/,"Day 1:



I meant to start this sooner but I just didnâ€™t make time for it. I donâ€™t know if itâ€™s just that I am lazy, or just didnâ€™t want to get this on paper (or whatever you call putting it on a website/forum). Iâ€™m not really sure how to start this so I guess I should explain what this is and why I am doing it.



This is my journey to find help, through any means possible. I know there is a diary section on this forum but I wanted people who felt the need to give feedback to be able to do so. I feel very lost in my life and I know I have several demons to slay and I am hoping maybe someone(s) can help me find my way again or just tell me if I am going the right way.  This whole thing seems very self-absorbed to me, but I am willing to try anything at this point.  



I made a list of 10 things I want to change to make my life better, and I hope if I write in this every day I will hold myself accountable.  So hereâ€™s the list:

1.  I would like to get down to around 222 lbs. Currently I am under 340â€_I think. Iâ€™m not at home but I will weigh myself and update it. For what itâ€™s worth I am 6â€™ 3â€ù and 32 years old.

2.  I have (what I consider) a fairly nice apartment.  I havenâ€™t really bought anything for it in the 13 months I have been here. I just signed a lease to stay through July 2017. So maybe try my hand at interior decorating?

3.  I would like to start playing video games again. I love video games, but with my depression I just donâ€™t seem to have the time to just â€œtrophy huntâ€ù like I used to. I would like to start again.

4.  I would like to work on my poker game.  I play poker a lot and sometimes I just make really bad decisions. This would be known as â€œTiltingâ€ù. I would like to work on maintaining good discipline.

5.  I would like to curb myâ€_other gambling habits.  I tend to go a bit overboard in playing other games that mathematically I know I canâ€™t win at.  I would like to keep myself in good money making situations. Although I wouldnâ€™t be opposed to the occasional table game when on vacation or something.

6.  Iâ€™d like to start saving money.  I have several things I do where I can make some â€œfound moneyâ€ù, I usually piss through it. I would like to start saving it for something, I donâ€™t know what.

7.  I would like to repair old relationships.  This probably isnâ€™t realistic with some that have ended and no other communication will be entertained. However there are some relationships I have â€œaccessâ€ù to that feel like they are fading fast.

8.  I would like to find the courage to meet people.  I have lived in Pittsburgh for 8 years now, it has 305,841 people.  I have yet to have a friendship out here. I donâ€™t go out (except to the casino, obviously), I donâ€™t like bars, or clubs. Pretty much any and all social situations scare the hell out of me. So I would like to maybe try to fix that.

9.  I would like to meet someone special.  Iâ€™m not anything amazing, most days I wouldnâ€™t even call myself a â€œgood personâ€ù.  Iâ€™m a lot to handle, and am not very fun with being constantly depressed.  I have limited interests and donâ€™t like large social gatherings; resulting in people having to choose me over their friends. It seems impossible to me but I am holding out a minimal amount of hope that someone could actually love me.

10.  Failing 8 and 9, I would like to learn to accept being unwanted and unloved. Again Iâ€™m realistic, I wouldnâ€™t date/befriend/touch me so I donâ€™t expect anyone else to either.  I would like to make peace with the fact that with everything against me there is a very good chance I will die alone and forgotten. 

So thatâ€™s the list.

My goal is to spend an hour writing every day for this.  Obviously I donâ€™t expect anyone to read every entry since Iâ€™m sure on days when there is a lot on my mind, these could get to become novels.

Well I have 15 minutes so I guess I can talk about the battle plan for the day.



I have $10 in free play at the casino so I plan to go down there and run through it and whatever I have the end cash out. Probably wonâ€™t be much but I like to play the $1.25 video poker.  Well I donâ€™t LIKE it, itâ€™s just a better game than slots as far as payout over time is concerned.  Itâ€™s a free shot at money so with no risk its positive expectation.  This free play is one of the things I would like to start saving. I canâ€™t really at the moment because I am broke until next my next paycheck (shocking, I know).

I work overnights so I will probably head home to sleep right after the free play, possibly pick up a breakfast sandwich or something on the way home. I sleep a lot, I should probably add stop sleeping 10-12 hours a day to the list. I need to be up at 9:15-9:30 to get to work on time, so a normal person might go to sleep around noon. Iâ€™ll be in bed by 10am, earlier if I go straight home. 



Okay, well time to go. Anything anyone would like to know, I will try to respond to in the next entry."
What it feels like lately,https://www.suicideforum.com/community/threads/what-it-feels-like-lately.122720/,"So lately especially I've been taking extreme and quite sudden turns for the worst, lasting even just a day. And then the next day I'll be totally fine and positive. I've never been to see a professional about the way I behave... But I'm starting to believe there must be an explanation for the way I am feeling and why my emotions are becoming more and more intense and diverse.



So I was walking home the other morning with my boyfriend at 7 ish in the morning in Osaka, we had been out drinking together the night before... He started playing a game like being silly and hiding behind signs and stuff and then running past me, so I joined in and wedged myself in a little tight spot between buildings, and he ran past, and I know it was a joke but he ran away so fast and so far when I looked he was no where in sight. 

And that crushed me for some reason which is ridiculous. So I just stood there like a maniac hoping he would come back but he didn't, he'd probably already reached home at this point. And all of a sudden it felt like a huge hole punched in my gut and I I started sobbing and felt really really bad.

 So I started walking a bit whilst crying and found a railing I sat on with my back to the morning sun and just kept thinking 'the sun feels nice' but inside I felt the most wretched and awful and like I just couldn't try at life anymore and how tired I am. And I just kept sobbing and it wouldn't stop. And then he came back after about 15 minutes obviously worried and was so confused what was wrong... He talked me into coming home but I refused so many times because I just felt like saying goodbye to everything right then and there.

And then the next morning I woke up in a normal mood again. And now I woke up at 4 in the morning feeling numb. And my emotions are just like a yoyo and I can't control it.... And it's making me so confused and tired but all I know is the times when I feel down are getting significantly for frequent and intense and it's scaring me....



Rant over~"
Disgusted with my weight,https://www.suicideforum.com/community/threads/disgusted-with-my-weight.122271/,"I was out shopping today and happened to glance into a full length mirror. My legs looked massive, my tummy was sagging down, I wanted to run out of there and cry but I said no I am going to stay and do what I have to do reminding myself that my weight is not permanent. Disgusted with my body I was. I'm going to go and weigh myself now for the first time in a while   BRB...oh my goodness I was not expecting that. 22 stone 0 lbs. I'm trying so hard to lose weight,  I know it takes time and know what to do and avoid. I'm just ashamed that I let myself go like this. I feel disgusting. Does anyone have any nice tips for me?  I'm joining slimming world tomorrow, here's to a fresh start"
Just bleh.,https://www.suicideforum.com/community/threads/just-bleh.122018/,"I just need to vent about this... 



I have a scoliosis and only got the diagnosis a couple of years ago (because no doctor was allowed to examine me when I was a kid and a young teen...) and that means it is untreated... which is hard to live with. I have chronic pain, and if I am too active it hurts more and sometimes it locks nerves... sometimes in my leg and sometimes all the way to my toes... it has affected my bladder function, and because of my balance I haven't walked right for most of my year, my hip hurts too... 



I have to plan my activities every day... If someone is coming to visit and I have to give my tiny flat a good clean that takes a week... Monday I can vacuum, Tuesday I can clean the loo, Wednesday I can clean the toilet... etc. etc... I live with dishes cluttering my tiny kitchen that has no space already because washing the dishes hurts me especially... 



I am on pain relief... I take pills every 5 hours... It's supposed to be every 6 hours, but the last hour can get so painful I only let 5 pass... 



When my pains got really bad a couple of years ago I didn't want to get on pain relief... I had been addicted to paracetamol as a teenager, and since then I didn't even take aspirin for bad period cramps... and for months all I could do was lie in bed and sob. I lived off of toast I'd crawl to the kitchen to get, and sometimes I'd take a few more slices so I had for the next meal next to my bed as well. Nothing helped... I tried to stretch but it all only seemed to make me worse. 



I saw a doctor, got a special X-ray done... was told 'Its scoliosis, eat pills. go home'. And the doctor added that it wasn't supposed to hurt... but he didn't do more... just that. ""It shouldn't hurt. So yeah"". I asked him if I could get a scan... I know a few things about anatomy and I was thinking I had a slipping disc or one being squeezed by my twisting spine... he just laughed at me... I kept getting more and more pills... and no scans... 



A long while after I tried PhysioPilates because someone online had said that it helped with her scoliosis pain... that made me worse... I could barely walk for 2 days after a session... but the instructor was a physiotherapist and she assessed me one day when I showed up at the class in bad pains.... she told me I did indeed have a slipping disc in my spine. 



But yeah... my doctors doesn't seem to worry about that... they don't think that happens to a 26 year old. So why waste a scan on me? 



I am just so sick of having pains and essentially being handicapped. I wish I could exercise to help me lose weight, since all my eating disorders make it difficult to lose weight that way (and lets face it, being big doesn't help the pain... but the fact is I'd still hurt if I was skinny)... but I'm not allowed to anything more than walking... and even that hurts. 



Being young and living with this pain, and not being able to do normal things like taking the stairs... and dealing with people looking weird at me when I take elevators just because I don't look sick. And also... my best friend is so careful with me... she means well when she says things like ""Can you handle that?"" or do stuff for me... and if I wince in pain or stretch she gets worried... and my boyfriend too... when we talk on the webcam I have to get up and stretch a lot... and he always worries. 





Well... months ago I saw my doctor again... truth be told I was wondering if I could get on disability benefits... since... well how can I hold a full time job in this condition? Turns out the only way you can get that is having a mental illness... and on the paper my mental condition is not bad enough either... you have to fit a certain list of diagnoses for that... 



My doctor referred me to a center that was supposed to have some group sessions for people with chronic pains who needed to learn how to deal with it and settle with that life. I was actually looking forward to it... the only person I know with this was my mother, who took her frustrations out on my soul and body... and I never want to turn into her. 



I visited and had a meeting with a young woman there over a month ago... she had a whole questionnaire and went through it with me, they also talked about other conditions etc and I told her I had un-diagnosed PTSD which also kept me inside a lot... it was a horrible meeting and I left it shivering and almost cried on the street going home. She kept asking and tried to dig into what had caused my PTSD... and in the end she decided instead of the chronic pain curse she wanted me to join an anxiety group... with an instructor who was not an actual psychologist or therapist. 



I decided I didn't want to do that... I am currently in therapy with a therapist I trust and I am waiting on DBT to start... I worry about contradicting advice and to be honest... my issues aren't fit for someone who isn't a professional. 



A lady from that place finally called me today... first of all she left me a message and told me to come for an appointment on Wednesday, at the same time as I have my next appointment with my therapist. No way I am canceling that!! And the thing was supposed to start on Thursday... 

I called her back and told her (what I already told the other woman) that I am being treated as an outpatient under the healthcare already, and was waiting on DBT, and I wasn't sure it was a good time to be mixing all that into it as well... she reluctantly agreed with me... but kept telling me I was always welcome to get back in touch, and I should look at the psych clinic for their brochure and see if it was something for me after all. 



Maybe it's a possibility when my treatment at the psych clinic ends... so far it's set to a 20 week thing... though I already think I might need much more than that...  





But that was never why I was referred there!! I came for my back. Damn it. 



Anyway. I'll crawl to the kitchen and get myself some lunch and my pain relief... my daily routine... *sigh*"
Extremely depressed but I don't wanna kill myself or harm myself.,https://www.suicideforum.com/community/threads/extremely-depressed-but-i-dont-wanna-kill-myself-or-harm-myself.121913/,"I just feel like what's the point in even trying to be happy? I'm never truly going to be happy. Everything I do turns to shit in my hands. I look for advice, I get slapped in the face. I find a solution. I hit a fucking wall. I don't wanna kill myself anymore because what's the point? That won't make me happy. I don't wanna harm myself because that's just gonna hurt more, fuck that. I guess I'll be a scrooge my whole life. I'll just be a cynical, bitter, cold, arrogant fuck who's never happy. That's my lot in life and my destiny. I accept it now."
Another empty day,https://www.suicideforum.com/community/threads/another-empty-day.121945/,"Restless night of thunderstorms and rain, woke up to a grey cloudy day a reflection of how I feel, wish I could feel optimistic but the depression is so heavy on my body and mind. It's amazing how thoughts and feeling so totally control everything in our lives. Wish these feelings and thoughts would end. I hope everyone finds something to keep them going today. Thank you for this site and the people on here who understand, at least we don't have to be alone.

Brian"
