•ÈÀpost,post-href,text
Depression destroyed my relationship,https://www.suicideforum.com/community/threads/depression-destroyed-my-relationship.122098/,Depression destroyed my relationship I'm going to kill myself <mod edit - method request>
Can't say anything,https://www.suicideforum.com/community/threads/cant-say-anything.122667/,"I'm living in Japan at the moment.

I tried to commit suicide in late February <mod edit> 

Obviously, I failed.

I'm 21 and a student and live alone.

But I haven't talked about it to anyone.

I told people not to visit me in hospital, or if they did come I told them I was in there for a different reason.

I want to talk about it to someone because I've been thinking about doing it again, in a very calm way, and it's starting to scare me.

When I tried last time I remember feeling so calm about everything. I barely even considered what I was doing, I just was switched off and taking a trip down memory lane by myself in a dark room <mod edit>

I want to talk about the way I'm feeling again but I can't even tell people I tried in February because I'm scared it will push my friends and family away, make me seem ungrateful. And then I'll be even more alone. But not telling them I'm also lying to them every day by pretending I'm happy and doing fine and moving forward.

When really I just feel crushed pretty much every day and pathetic and can't beat the mountain of problems I've created for myself in my life.

If I tell my boyfriend will I just freak him out and push him away?

I can't even put this is words but if there's anyone that feels remotely similar, please even share your thoughts with me or if you have any advice....

I'm all ears"
It's inevitable,https://www.suicideforum.com/community/threads/its-inevitable.122180/,"I can't stand this anymore. I have to be ready to go soon. 



My supervisor is out to get me. Everything is my fault. I'm not going to get another job, and there's no use trying - I haven't been able to get on the internet until now (I live in China).



I can't live with this anymore.



Hazel"
"Old Member Returns, Suicidal",https://www.suicideforum.com/community/threads/old-member-returns-suicidal.122646/,"I have logged in for the first time in XX years and everything is so radically different. I used to be very active here. In time I grew away from SF for my own wellbeing.



But XX years later, nothing in my life seems to have changed. I've been in therapy and made progress in some things. I've held down jobs. I've worked in the mental health field. I now work outside of mental health as I thought that may help me get away from these negative thoughts. I've done quite well for myself materially. On a CV I look like my life is sorted.



But I'm 37, single and deeply unhappy. Tomorrow I am going to resign from my job as it's causing me too much stress. I don't have a job to go to. There have been times in my life when I've seen glimmers of hope. Hope that I could function in this world. But time after time things remind me these are unachievable dreams. 



I used to belong here. I used to have purpose and hope. Now all I can see is <insert graphic image of my suicide here>. I'm empty and hopeless. This post doesn't even give details of why this has come about, because quite frankly who would read it or care. My hope is that if someone goes through my internet history they'll come across this post and get a brief inkling of how unhappy I feel."
I still don't know.,https://www.suicideforum.com/community/threads/i-still-dont-know.122351/,"So here I am again... a year and a half later and I'm still struggling with this shit. I escaped my abusive parents, found a good job, and am on yet another boyfriend. This one's legit, I swear! (I'm only saying that because he's reading over my shoulder). So yeah, I wrote a suicide note last night. I was ready to walk out the door, install myself <edit - methods>. Then I shredded the note and climbed into bed with my man, told him what was happening and we cried for a few hours before falling asleep, exhausted. I apologized profusely this morning but this afternoon I locked myself in a room and started <edit - methods>. Noisily. For attention? Maybe. It really just felt good to know I was damaging myself though. More hysteric crying, more feeling empty, more deep, dark, all-consuming despair. I'm just sick of this. Sick of it all. I refuse to go on meds. I refuse to see a professional. I don't want to get better, and so it's no use trying. Everyone seems to want something from me in the chaos following my divorcing my parents, and I can't handle it. It really is an excess of stress that triggers these feelings; I know it is. And I can handle a lot of stress. Life has been so crazy recently...



I really feel that it's time for me to actually do it, but I know it's a shitty idea. As long as I'm alive at least I have a choice. Maybe I'll just run away to Italy... anyways"
How do you cope with life being laughably unfair?,https://www.suicideforum.com/community/threads/how-do-you-cope-with-life-being-laughably-unfair.122742/,"Everyday at work I get confronted with people who live life on complete easy mode. They never had any sort of struggle in their lives and probably never will experience any struggle or adversity. Itå«s their birth right to experience the best things life has to offer. Meanwhile my life is the complete opposite. Nothing ever comes easy and I always lose despite putting in 1000 times more effort into things. 



Being a loser in life sucks and makes me extermely suicidal. Everyday I feel like a starving African kid who is being chained to a table full of the finest dishes the world has to offer, but Iå«m not allowed to touch anything. Iå«m being forced to watch everybody else gorge the food down. Everyday, over and over again.



How do you cope with the extreme unfairness that is life?"
Calmness.,https://www.suicideforum.com/community/threads/calmness.122128/,I guess I'm at that point of no return. Decisions have been made and I think I am ready. The thing is I'm not scared. I kinda have this calmness surrounding me. It's something I fought against for years and it was inevitable that it would finally beat me into submission.
Came Close,https://www.suicideforum.com/community/threads/came-close.122085/,"Last night i came very close to being done. nothing goes right and never has, I am here as i have nobody to talk to at all. so pathetic. one friend is all i could ever ask for. a real friend that is not judgmental or bias and listens, a 2 way street friendship. i have never had that and probably never will. my birthday recently passed and my only wish was to never wake up again."
I want it to end,https://www.suicideforum.com/community/threads/i-want-it-to-end.122627/,"There are many times where I wanted to commit suicide, I cannot feel any hope anymore. The pain is unbearable. I'm only fifteen, and here I am, having the same thought again. My parents all blame stuff on me, they never really cared about how I feel. My mother wanted to kill me, but was stopped by my brother, she actually brought in the knife to my room ready to strike, I'm so scared. I just want this pain to go away. The only person I feel comfortable talking to is unavailable right now, and I have never felt so helpless, I just want to end it all, then I don't have to feel the pain anymore.

Last night, I had an argument with my mother, it started off quite nice, since I have to do whatever they say, my dad called me to scrub the toilet and I did, but my mum doesn't like the idea, and she scold me for not telling her what my dad had asked me to do. Then she went on accusing the things that I haven't done - stealing, harming her physically. But I know she had done those things, she had beat me on a regular basis, but I was to cowardly to turn to anyone for help.



I tried to ignore them, just to exist a bit longer, but I guess it is time when it has to end, I know they wanted it to since they have starved me for the whole day. they haven't allowed me to eat or drink anything for the whole day, the reason I am able to enter this help site is because I have hid my laptop and phone and wallet under my pillow all the time.



I have never felt so helpless, so lonely, I felt like the lie has drained out of me, I am no longer living, I am merely just existing, there is nobody who cares about me, there is nobody who love me, there is nobody who are willing to help me."
Just can't seem to pull myself together this time,https://www.suicideforum.com/community/threads/just-cant-seem-to-pull-myself-together-this-time.122312/,"I have always suffered with depression. Since I was a very young child I never felt part of any gang, even my family. It was and has always been me, myself and I.



I have learned to live with this, survive. I have found solace in my depression, knowing and understanding what is happening and how the day is going to go. During the 'happier' times I never feel at peace and there is always my depression shadow lurking over my shoulder just waiting for a trigger. And this trigger could be absolutely anything.



But over the past 2 years however, I can't shift it. Nothing is bringing me out of this deep dark well in which I now lurk.



While I know many people, I don't have friends because I don't allow anyone to know the real me. They get the authorised version, the acceptable one. This past week has been the worst of my life. I spend all day in my bedroom thinking about how if I didn't have my children I wouldn't have to be here anymore. I just don't know what to do this time.. I can't breathe and emotionally I need to lay down for the last time."
What keeps you going?,https://www.suicideforum.com/community/threads/what-keeps-you-going.121979/,"What keeps me going? 



In short: Music, Art, Cars, Sex, Substance abuse... And on rare, beautiful occasions the immense wonder of nature.



I can't talk freely about the most poignant of these in detail, since they break site rules. All I can say is that I am one ****ed up individual who does a lot of things they shouldn't, some openly and some privately. Am I ashamed? Perhaps, but only in my own eyes. Sometimes the devil inside keeps you alive. There is no rhyme or reason to it, only the sweet embrace of escapism and the heady heights of hedonism.



I am smart enough to know better. I see the path forward yet so frequently walk backwards, immediate self preservation becomes justification for slow, steady debilitating destruction."
A life ruined and left with no hope,https://www.suicideforum.com/community/threads/a-life-ruined-and-left-with-no-hope.121889/,"I want to start out saying I am sorry to hear about everyones problems and struggles.  I am not sure how much I am comfortable with writing down but I will try to at least get some basics.

    I have ruined my life, not one event but almost all events that just keep spiraling down hill, everytime I think I hit bottom I fly off a cliff and down another mountain. I am not talking about drugs or anything of that nature.

    I am 33 years old and have been married over 10 years, with no kids. I have no job (for over 3 years),no income, no car, and absolutely nothing my name. My wife suffers from PNES and can't work because of the seizures, we are trying to get her on Social Security but she has no income either. We live with her mom who has paid and continues to pay for everything for us over the last 7 years. I have a culinary degree but owe tons of money in loans that are in default.

     I was committed into a psych ward for suicide 8 years ago for 4 days. They were so quick to say bipolar but after a few years of none of the bipolar meds working even maxed out they ruled against bipolar and went with anxiety disorder with ocd but prescribed me nothing and took all the pills away.

    I then proceed to ruin my life and my wifes life. I was locked up for almost 3 years. While I was down my wife cheated on me but just told me 2 months ago after being back over 3 years. I know I messed up because I have to pay for it everyday for the rest of my life.

    I can't get work because of the nature of my crime and I can't qualify for government assistance. I am essentially a diseased mutt waiting for the day when he will be put down.  I have to beg for everything and I have to sit by while my wifes condition gets worse.  

    There are so many days that go by that I regret not going through with my suicide instead of getting help.  My crime stims from childhood and if I would have seeked helped about it, I would have just been locked up sooner.      I have no hope for the future, all my dreams crushed or impossible, I am leech and a monster.  If this was a place negative comments where allowed, I would have hundreds saying to go through with it and just end it.  Believe me I think and ask for death everyday, is this the day it can end, is this the day a vigilante will finally end me.  I live a waking hell and wish my life on no one, not even my worst enemies. 

   The only small thread that is keeping hanging on is my wife but it is a small thread that gets pulled tighter by the day and maybe only a matter of time before it snaps and then then I will make society happy, because I will be permnantly gone. 

    I had to get this out because I can't talk to my wife because she will go into seizures because of the anxiety this would cause.  If I violated anything I am sorry, if you want me gone I understand because everyone else does but my wife. Thank you."
nightmares every night,https://www.suicideforum.com/community/threads/nightmares-every-night.122517/,"i keep having a lot of nightmares it got to the point that every time i go to sleep i beg god that i don't have a new nightmare . its so scary and  every  time i wake up after a nightmare i wake up feeling like shit and panicking  and tired  like i didn't even sleep or rest , most of the nightmares are about the fucker who raped me , and the others are random disturbing scary dreams , today the nightmare was that he came to beat the shit out of me and rape me and i couldn't do anything to stop it then the worse part he went to rape my mom and i still couldn't protect her , and a lot of other disturbing nightmares ,  i'm so tired of it its making me lose my mind , it's making me confused about things that really happened and nightmares , like sometimes i try to remember yesterday and wonder did this really happen or was it a nightmare i can't tell the difference and i'm freaking out"
Pain Pain Go Away....,https://www.suicideforum.com/community/threads/pain-pain-go-away.122626/,So much pain right now...emotional pain on top of stress from a new job. Feeling so overwhelmed by everything and I just cant take it. I wanna close my eyes and never wake up again. I can't handle this...
Itå«s the things that I have no control over that make me want to kill myself.,https://www.suicideforum.com/community/threads/it%C2%B4s-the-things-that-i-have-no-control-over-that-make-me-want-to-kill-myself.122264/,"So far literally nothing good has ever happened to me in this life. Extreme bullying growing up, had an abusive father and an alcoholic mother and I was always unattractive to women because of my unattractive face. None of this was my fault. I got dealt a terrible hand in this life and I always tried to make the most of it, but nothing ever changes. Suicide seems logical and rational. Looking back itå«s amazing how little control we have over lives. 



Iå«m 27 and feel like I have absolutely maximized my potential and the results are still extremely unsatisfactory and Iå«m left with a life that is not worth living. 



From here on out things will only get worse the older I get so I see no point in continuing to drag myself through this living hell."
Feeling down,https://www.suicideforum.com/community/threads/feeling-down.121931/,"I think what stops me from ending this life, is that i canå«t say goodbye to my family and friends. If I only had a physical disease and we could all get together and say goodbye. But when you want to die and commit suicide, you canå«t tell anyone. Itå«s a thing I have to keep for myself. 



No one sees the fake smile, they think things a going better, but itå«s worse. I try to talk about everything I want to do, but inside I canå«t see how Iå«m going to get thru this...



But all I want to do is to say goodbye."
I want to find peace,https://www.suicideforum.com/community/threads/i-want-to-find-peace.122691/,"I have a person in my life. I loved this person more than anything. I gave everything to that person, she knew I was not well and now she treats me with stupidity and coarseness. She was the only person that mattered in my life. Today I see myself more alone than ever. Yesterday I wanted to die, I thought of a thousand ways to kill me. Yesterday I woke up with a person on the phone and she asked me to stay. Today I feel that bad feeling yesterday back. I'm afraid to do something, I'm afraid I could not stop myself as yesterday"
I'm going to die soon.,https://www.suicideforum.com/community/threads/im-going-to-die-soon.122567/,"I'm tired of fighting. I'm tired of failing. I don't have any more fight in me to continue.



Life is shit, it's just another hurdle, you get beat down you get back up. Not this time, I'm too far gone. Tired of living and tired of fighting and always losing and failing.



This failure is the last drop in a glass already too full. 



I will die sooner rather than later, I just don't know when. But I know I can't live with this pain anymore, the constant pain, the constant darkness. 



I just don't want to be selfish, but no one I know understand how I am feeling and they cannot help me. 



It will become too much, I will die, I just don't know when. I don't know when it will overcome me."
Old and worn out,https://www.suicideforum.com/community/threads/old-and-worn-out.122434/,"I'm in my fifties in chronic pain and have been severely depressed for 7 years now. I have tried every possible option including ECT and many experimental treatments. I tried to get the brain operation for Deep Brain Stimulation but the clinical trial has been cancelled. I am just waiting for the details on legalized euthanasia to be worked out here in Canada and then I will apply for it. I don't think I am being crazy at all to do this. It's really a logical next step given everything I've tried and been through with no results. My life is effectively over anyway. I am old, worn out and incurable. Time to go."
How can I become emotionally dead?,https://www.suicideforum.com/community/threads/how-can-i-become-emotionally-dead.122454/,"Emotions are a burden, by becoming emotionally dead, I wouldn't worry about being isolated and being a waste of life. I want to be completely devoid of emotion, so that I don't have to care about nobody being there for me or for my funeral. Tired of existing."
No morality,https://www.suicideforum.com/community/threads/no-morality.122143/,"i have a desire to commit suicide but it's much more than that. I have no morality anymore. Maybe that's not the right word ,feel free to correct me if it isn't. I don't care if the people around me suffer or how they feel or anything along those lines. And that goes for my friends and family as well. I'm not sure if it's a bad thing but it's just how I feel. To put it in a scenario, I currently go to class and I know school/university shootings are thought of as a terrible thing, but I don't think it would bother me at all if that were to happen to the school I attend. Don't get me wrong I wouldn't do it myself or help the cause but I don't think I would care much if I saw that happening all before my eyes. Sure it would mean suffering for my friends and I would prefer them to make it out of that situation unharmed physically and mentally, but it wouldn't bother me all to much. As for those who aren't close to me I wouldn't have even the slightest care for. I just don't care what happens to anyone around me anymore, or myself either to be honest. I would probably attempt to survive out of instinct at the time but I looking at it now and after the event itself it would mean nothing to me. I wouldn't feel bad for those who lost their lives and those who lost their loved ones. This is probably due to the fact that I feel I've dealt with an unfair amount of pain throughout my life and I feel it isn't fair that everyone else isn't experiencing the same pain as I am. Without doubt I am depressed but I think it's worse then that. I don't feel bad for the unfortunate nor do I care about those around me. If everyone were to drop dead around me I feel I wouldn't have any problem with it at all. As far as my own life I don't care much about that either. If I were to die today or tomorrow it wouldn't bother me the slightest. I'm not a huge fan of this place (being the world). I joke a lot about suicide and other terrible things to those around me and some believe I'm just joking and others wonder how I could say such terrible things. The truth is I just don't care. Sure that may make me a bad person but so what, what do I gain out of being a good person. I tried that already and all I got was a lot of pain. So why not be a bad person. I don't neccisarally want to hurt everyone around me (except those who have hurt me, which I want nothing but revenge so badly it hurts), it's more like I just don't care if everyone has to suffer. I wouldn't stop the suffering even if I could. What would I gain from that? Whenever you help others all that comes with it is pain down the road. And as for those who have hurt me I want to cause an unfathomable amount of pain to. Not the same amount that was inflicted upon me, a lot more. I don't want to play to get fair, I want to play to win and to hurt. Earlier I said I don't want people to hurt I just don't care if they do, that may be wrong now that I think about it. Maybe I do just want to cause everyone around me the same pain I feel, I just don't know how to go about it. And ending a life other than my own isn't something I am interested in. I'm not a killer, also I'd rather have them feel constant pain throughout their lives until they hate it just as much as I do. I don't think of myself as a bad person in anyway for having these thoughts although a lot of people may. And even if I came to the conclusion that I was a bad person bc of this, nothing would change bc I don't have a problem with being a terrible person Why would I? 









*just thought I'd get that off my chest, feel free to reply in anyway you would like*"
I really want to execute myself *edit timeline* in front of my friends,https://www.suicideforum.com/community/threads/i-really-want-to-execute-myself-edit-timeline-in-front-of-my-friends.122074/,"I've been having a really hard past months, and a lot of problems revolve around them.



I want to spite them, and everything is just so screwed up, I don't have any second thoughts on doing it anymore.



But I am a little scared if it doesn't kill me, and I'll be seen as the kid who tried but couldn't die.



I don't know what to do anymore."
I'm A Failure,https://www.suicideforum.com/community/threads/im-a-failure.122633/,"No matter what I do I feel like a failure. 



I've had an eating disorder for a while now and whenever I eat I feel like I'm a failure, but whenever I don't eat I feel like I'm letting down my friends when they tell me I should eat. They tell me I'm really skinny but I just don't see it. To me, I look fat. 



I'm really insecure about myself. I'm scared to walk out in public because I hate the way I look. I hate how I'm too shy to speak to people, I hate how it takes me ages to make a friend (and even then they do more talking than me) I hate how I compare myself to others and think how much of a mistake I am. I hate how no matter what people say to me or do to help me: I always think and feel like no-one cares about me. I'm scared to reach out on my sleepless nights to my friends that say they are here for me. I feel like I'm bothering them or I can't fight my own battles because I'm too weak.



 I used to get top marks in one of my classes every week when we did our weekly test but now I've gone down to C's, D's,E's and F's and I feel like a failure because I'm not getting the grades I used to. Recently I got my report back and found that some of my grades are lower than some people's grades who are in lower classes than me.



Whenever I SH I feel free and I get a sensation that makes me feel human but I feel like I've failed everyone, especially when I'm asked to show them my arms, but if I don't SH I feel like I'm too wimpy and too much of a failure to do anything. 



I hate how I'm so quiet and shy that people pick on me as they know I won't try to defend myself.I've had  humiliating rumours spread about me. I've been called names. I've had my things stolen. I've been pushed. I've been nearly shoved down a flight of stairs. I've had things put in my hair. I've had things thrown at me and I feel like a failure that, not once, have I stood up for myself. I've just sat alone and cried and soaked up every negative thing anyone has said or done to me and let it eat me alive.



When I cry I feel like a failure because I can't just hold it in any longer.



I feel like a failure all the nights I've been up, not being able to sleep, just breaking down over worrying about going to school or completing the simplest of tasks. I'm even scared to ask for a new textbook or even to walk into assembly.



Today, for the first time I tried to make myself purge and (I know it's not pleasant, I'm sorry) but I can't get the feeling out of my system the minute I started gagging. I wasn't successful but now I wish I was.



I've been told that I'm not a failure. But I know I am. I hate feeling like this but I hate myself and everything about myself. I just can never find to pick out something I like about myself."
